AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.250,-0.215,-15.763,8.634,1.718,STANDING
-1.161,-0.201,-14.046,-7.565,-26.076,STANDING
-1.230,-0.186,-37.840,31.664,47.763,STANDING
-0.978,-0.168,-11.366,10.977,59.809,MOVING
-1.197,-0.171,-7.237,10.206,19.412,MOVING
-1.205,-0.097,10.389,6.763,-94.214,STANDING
-1.231,-0.350,4.412,4.863,17.420,STANDING
-1.322,-0.195,4.344,8.038,3.221,STANDING
-1.155,-0.222,17.176,3.443,-28.595,MOVING
-1.279,-0.246,-11.534,14.695,-1.267,STANDING
-1.161,-0.220,3.954,-9.847,5.183,STANDING
-1.319,-0.172,-13.771,15.046,55.191,STANDING
-1.325,-0.090,22.275,-14.588,-33.008,STANDING
-1.221,-0.321,-20.603,23.656,23.076,STANDING
-1.451,-0.230,10.244,8.954,-8.229,MOVING
-1.293,-0.200,-22.740,16.992,7.443,MOVING
-1.070,-0.198,-3.656,20.115,14.656,MOVING
-1.320,-0.191,-12.641,11.954,1.038,MOVING
-1.242,-0.137,67.802,-12.618,-5.557,STANDING
-1.227,-0.161,28.260,-8.122,-10.244,STANDING
-1.310,-0.201,-16.443,10.618,6.901,STANDING
-1.212,-0.182,-15.847,10.847,3.053,STANDING
-1.232,-0.208,10.229,-8.107,-5.313,STANDING
-1.307,0.014,11.443,-4.534,-2.198,STANDING
-1.297,-0.152,-18.588,20.374,4.206,STANDING
-1.298,-0.249,-40.038,24.870,15.305,STANDING
-1.305,-0.117,-11.901,-0.015,-9.122,STANDING
-1.181,-0.029,3.573,-6.282,-1.359,STANDING
-1.333,0.049,21.405,-14.405,-3.458,MOVING
-1.150,0.062,-8.443,11.206,0.740,MOVING
-1.147,-0.108,25.168,-11.557,-9.244,STANDING
-1.225,-0.176,21.153,-14.595,-13.374,STANDING
-1.252,-0.082,12.672,-15.000,-10.374,STANDING
-1.196,-0.076,-14.725,10.351,2.397,STANDING
-1.236,-0.182,19.901,-12.260,-10.725,STANDING
-1.327,0.046,7.733,-4.290,-5.366,STANDING
-1.227,-0.185,-19.397,18.206,3.481,STANDING
-1.266,-0.115,27.573,-19.557,-10.809,STANDING
-1.317,-0.017,-29.237,21.924,8.985,STANDING
-1.190,-0.164,23.160,-14.122,-8.901,STANDING
-1.309,-0.168,-5.366,3.420,-3.191,STANDING
-1.191,-0.182,-1.740,-1.115,-4.985,STANDING
-1.265,-0.240,-38.099,16.443,17.962,STANDING
-1.379,-0.397,-13.748,1.962,32.687,STANDING
-1.245,-0.194,15.046,-15.069,-1.427,MOVING
-1.199,-0.361,-7.794,6.985,9.382,STANDING
-1.295,-0.135,15.374,-7.298,-13.115,STANDING
-1.134,-0.202,-14.328,18.313,14.954,STANDING
-1.226,-0.102,-17.740,13.702,26.992,STANDING
-1.298,-0.036,3.000,-0.443,-69.031,STANDING
-1.323,-0.341,-14.649,-0.878,21.443,STANDING
-1.323,-0.204,9.153,1.160,7.046,STANDING
-1.161,-0.216,-16.695,8.954,50.099,MOVING
-1.313,-0.253,-2.664,1.878,-14.099,MOVING
-1.122,-0.325,8.519,-20.962,-15.183,MOVING
-1.137,0.042,-27.832,42.718,-6.481,STANDING
-1.363,-0.138,41.435,-25.130,-39.282,MOVING
-1.280,-0.198,1.412,20.534,48.534,STANDING
-1.299,-0.144,2.947,0.519,-3.038,STANDING
-1.285,-0.172,-9.374,9.565,7.206,STANDING
-1.323,-0.159,-3.397,1.282,-5.473,STANDING
-1.339,-0.173,-17.267,10.992,7.710,STANDING
-1.306,-0.118,5.870,5.565,-3.878,STANDING
-1.320,-0.114,-1.550,3.176,0.672,STANDING
-1.282,-0.134,-10.282,-3.221,-22.107,STANDING
-1.128,-0.246,15.031,-13.336,16.802,STANDING
-1.274,-0.088,-5.725,17.313,4.351,STANDING
-1.224,-0.211,-2.298,-24.214,-5.344,STANDING
-1.299,-0.253,-56.649,44.313,77.847,STANDING
-1.355,-0.282,4.435,-1.244,11.893,STANDING
-1.082,-0.211,9.290,-1.473,-49.656,MOVING
-1.277,-0.235,-0.511,11.115,25.847,MOVING
-1.291,-0.128,-8.466,15.321,-20.687,STANDING
-1.298,-0.238,-21.221,22.191,64.939,STANDING
-1.381,-0.199,-0.046,1.786,-19.504,STANDING
-1.150,-0.142,-21.122,-2.023,13.176,MOVING
-1.418,-0.032,5.153,-7.954,-5.802,MOVING
-1.232,-0.220,3.687,-4.557,-21.107,MOVING
-1.210,-0.146,8.191,-2.664,8.756,STANDING
-1.186,-0.080,-1.267,-2.756,-48.168,STANDING
-1.144,-0.150,-5.145,17.695,11.366,STANDING
-1.285,-0.005,-45.160,33.229,14.504,STANDING
-1.274,-0.176,21.420,-5.275,-4.809,STANDING
-1.220,-0.251,-16.771,29.626,20.947,STANDING
-1.288,-0.196,0.626,17.504,7.290,STANDING
-1.296,-0.198,61.519,-0.718,-4.115,STANDING
-1.330,-0.083,23.588,-10.580,-5.557,STANDING
-1.303,-0.195,-7.641,-7.435,-4.603,STANDING
-1.271,-0.347,-5.473,-7.641,-7.298,STANDING
-1.301,-0.314,0.580,4.466,2.168,STANDING
-1.282,-0.294,3.107,7.122,2.977,STANDING
-1.324,-0.175,8.863,14.855,10.664,STANDING
-1.366,-0.188,-6.756,-25.153,-41.031,STANDING
-1.285,-0.162,24.382,11.076,46.916,STANDING
-1.380,-0.113,-23.496,3.229,8.565,STANDING
-1.403,-0.174,-22.221,1.718,-12.053,STANDING
-1.209,-0.439,13.733,2.992,24.450,STANDING
-1.330,-0.187,13.565,6.527,-6.244,STANDING
-1.243,-0.251,-39.450,36.076,20.015,STANDING
-1.265,-0.071,-20.962,8.870,3.046,STANDING
-1.365,-0.223,3.870,-14.198,26.511,STANDING
